CustomerID,TotalRevenue,TotalOrders,AvgOrderValue,LifespanDays,FirstPurchase,LastPurchase
14796,8022.49,17,471.9111764705882,365,2010-12-08,2011-12-08
12428,7956.46,9,884.0511111111111,257,2011-03-01,2011-11-14
15290,7943.22,18,441.29,354,2010-12-15,2011-12-05
14849,7930.54,25,317.2216,351,2010-12-01,2011-11-18
12757,7857.1,13,604.3923076923077,195,2011-05-12,2011-11-24
17811,7837.7300000000005,39,200.9674358974359,329,2011-01-10,2011-12-05
13093,7832.47,8,979.05875,97,2010-12-01,2011-03-09
12435,7829.89,2,3914.945,188,2011-03-17,2011-09-21
13629,7792.36,11,708.3963636363636,315,2011-01-05,2011-11-16
15044,7700.2300000000005,17,452.954705882353,342,2010-12-12,2011-11-20
15194,7616.53,15,507.76866666666666,365,2010-12-06,2011-12-06
18172,7561.68,20,378.084,275,2011-02-23,2011-11-25
13263,7454.07,35,212.97342857142857,323,2011-01-18,2011-12-08
12474,7375.79,18,409.7661111111111,312,2011-01-14,2011-11-22
12980,7374.900000000001,9,819.4333333333334,200,2010-12-16,2011-07-05
15465,7354.62,18,408.59,349,2010-12-05,2011-11-20
17396,7330.8,8,916.35,332,2010-12-03,2011-10-31
12583,7281.38,15,485.42533333333336,370,2010-12-01,2011-12-07
13018,7277.7,28,259.91785714285714,279,2011-02-17,2011-11-23
18229,7276.900000000001,20,363.845,361,2010-12-01,2011-11-28
16923,7247.61,19,381.4531578947368,350,2010-12-12,2011-11-27
16729,7239.92,21,344.7580952380952,203,2011-04-12,2011-11-01
16745,7194.3,17,423.1941176470588,225,2011-02-01,2011-09-14
16873,7123.62,6,1187.27,359,2010-12-10,2011-12-05
13324,7121.95,10,712.1949999999999,324,2010-12-14,2011-11-03
13985,7060.13,15,470.67533333333336,260,2011-03-20,2011-12-05
14961,7044.68,9,782.7422222222223,349,2010-12-14,2011-11-29
12766,6989.63,7,998.5185714285715,362,2010-12-08,2011-12-06
12798,6977.04,3,2325.68,160,2011-06-22,2011-11-29
12989,6924.110000000001,15,461.6073333333334,361,2010-12-10,2011-12-06
16713,6923.13,15,461.54200000000003,347,2010-12-08,2011-11-21
13027,6912.0,6,1152.0,240,2010-12-20,2011-08-18
16187,6911.4400000000005,15,460.7626666666667,252,2011-02-28,2011-11-08
17416,6893.42,7,984.7742857142857,251,2011-03-03,2011-11-10
12705,6868.29,9,763.1433333333333,341,2010-12-17,2011-11-24
12476,6816.42,11,619.6745454545454,345,2010-12-13,2011-11-24
12830,6814.64,6,1135.7733333333333,134,2011-06-21,2011-11-02
15023,6802.76,11,618.4327272727273,366,2010-12-05,2011-12-06
18055,6784.1900000000005,10,678.4190000000001,362,2010-12-05,2011-12-02
15601,6776.56,14,484.04,361,2010-12-02,2011-11-28
16652,6773.97,7,967.71,214,2011-03-11,2011-10-12
16532,6748.8,3,2249.6,320,2011-01-05,2011-11-22
13576,6717.34,18,373.18555555555554,362,2010-12-01,2011-11-29
16746,6697.66,18,372.09222222222223,354,2010-12-16,2011-12-05
15249,6688.46,13,514.496923076923,224,2011-03-28,2011-11-08
16353,6675.71,23,290.24826086956523,366,2010-12-05,2011-12-06
17338,6643.93,8,830.49125,344,2010-12-13,2011-11-22
12626,6620.48,9,735.6088888888888,303,2011-01-17,2011-11-16
16182,6617.65,4,1654.4125,222,2011-02-18,2011-09-28
15144,6580.44,17,387.0847058823529,304,2011-01-31,2011-12-01
12472,6572.11,7,938.8728571428571,336,2010-12-05,2011-11-07
16814,6509.1,21,309.95714285714286,355,2010-12-05,2011-11-25
12431,6487.45,15,432.49666666666667,338,2010-12-01,2011-11-04
18223,6484.54,14,463.18142857142857,353,2010-12-16,2011-12-05
15694,6479.4,14,462.8142857142857,372,2010-12-02,2011-12-09
13225,6463.84,7,923.4057142857143,358,2010-12-13,2011-12-06
13102,6424.09,24,267.67041666666665,363,2010-12-09,2011-12-08
13871,6403.25,13,492.5576923076923,286,2011-02-04,2011-11-17
12359,6372.58,4,1593.145,274,2011-01-12,2011-10-13
13668,6363.59,21,303.02809523809526,359,2010-12-12,2011-12-07
13709,6328.05,13,486.7730769230769,311,2011-01-28,2011-12-06
15005,6316.57,28,225.5917857142857,350,2010-12-08,2011-11-24
17315,6292.26,38,165.58578947368423,355,2010-12-17,2011-12-08
16126,6287.77,4,1571.9425,267,2011-02-16,2011-11-10
14057,6217.96,17,365.76235294117646,336,2010-12-14,2011-11-16
12357,6207.67,1,6207.67,0,2011-11-06,2011-11-06
14060,6140.42,19,323.18,368,2010-12-02,2011-12-05
13418,6127.43,18,340.4127777777778,360,2010-12-02,2011-11-28
17509,6115.14,8,764.3925,5,2011-10-07,2011-10-13
15939,6115.01,15,407.6673333333334,241,2011-01-12,2011-09-11
14735,6065.69,32,189.5528125,354,2010-12-16,2011-12-06
12637,6021.9,8,752.7375,256,2011-01-20,2011-10-03
13097,6010.42,10,601.042,327,2010-12-14,2011-11-07
13316,5977.7300000000005,4,1494.4325000000001,217,2011-03-30,2011-11-02
14101,5976.79,6,996.1316666666667,252,2011-01-17,2011-09-27
15382,5955.71,6,992.6183333333333,280,2011-02-17,2011-11-25
14505,5905.64,8,738.205,344,2010-12-12,2011-11-22
14415,5900.28,13,453.86769230769227,359,2010-12-14,2011-12-08
14944,5900.25,12,491.6875,266,2011-02-16,2011-11-10
13209,5891.61,8,736.45125,331,2010-12-13,2011-11-09
13534,5870.08,25,234.8032,355,2010-12-16,2011-12-07
13050,5836.86,17,343.3447058823529,351,2010-12-08,2011-11-25
12720,5781.73,25,231.26919999999998,366,2010-12-05,2011-12-07
15218,5756.89,11,523.3536363636364,308,2011-01-25,2011-11-29
17686,5739.46,7,819.9228571428572,295,2011-02-10,2011-12-02
13178,5725.47,11,520.4972727272727,334,2010-12-14,2011-11-13
16553,5719.82,12,476.65166666666664,197,2010-12-14,2011-06-29
13468,5704.97,37,154.1883783783784,371,2010-12-01,2011-12-08
14110,5683.15,12,473.5958333333333,263,2011-03-18,2011-12-06
14049,5681.72,4,1420.43,301,2011-01-26,2011-11-23
17049,5659.9800000000005,9,628.8866666666668,273,2011-03-09,2011-12-07
17716,5655.99,11,514.180909090909,245,2011-03-17,2011-11-17
13004,5655.91,18,314.21722222222223,346,2010-12-17,2011-11-28
18118,5653.82,26,217.45461538461538,358,2010-12-05,2011-11-29
14688,5630.87,21,268.13666666666666,366,2010-12-01,2011-12-02
17757,5605.29,30,186.843,370,2010-12-02,2011-12-08
12481,5596.32,10,559.632,342,2010-12-09,2011-11-17
12839,5591.42,14,399.38714285714286,364,2010-12-07,2011-12-07
16767,5580.6,11,507.32727272727277,285,2011-01-27,2011-11-09
16161,5575.56,19,293.4505263157895,367,2010-12-06,2011-12-08
12539,5568.35,4,1392.0875,311,2011-01-10,2011-11-17
15805,5528.4800000000005,17,325.204705882353,341,2010-12-10,2011-11-16
18225,5509.12,12,459.0933333333333,361,2010-12-09,2011-12-06
16609,5493.46,7,784.78,237,2011-04-01,2011-11-24
16985,5464.12,10,546.412,341,2010-12-16,2011-11-22
16265,5447.0,9,605.2222222222222,355,2010-12-10,2011-11-30
18198,5425.56,17,319.15058823529415,332,2011-01-07,2011-12-05
12490,5417.93,10,541.793,324,2011-01-14,2011-12-04
17809,5411.91,12,450.9925,357,2010-12-01,2011-11-23
16701,5398.3,13,415.25384615384615,352,2010-12-13,2011-12-01
17719,5396.04,15,359.736,217,2011-03-29,2011-11-02
17850,5391.21,34,158.565,1,2010-12-01,2010-12-02
16303,5360.63,3,1786.8766666666668,307,2011-01-10,2011-11-14
13269,5346.2300000000005,15,356.41533333333336,368,2010-12-05,2011-12-08
15150,5314.47,10,531.447,251,2011-03-15,2011-11-22
17730,5298.4800000000005,13,407.5753846153847,323,2011-01-17,2011-12-06
17061,5232.2300000000005,11,475.65727272727275,158,2011-04-21,2011-09-27
18226,5228.05,11,475.27727272727276,293,2011-01-06,2011-10-26
12362,5226.23,10,522.6229999999999,292,2011-02-17,2011-12-06
15046,5213.7699999999995,15,347.58466666666664,329,2011-01-05,2011-11-30
16258,5203.51,5,1040.702,173,2011-05-04,2011-10-25
13756,5189.52,14,370.68,365,2010-12-07,2011-12-07
16191,5180.52,13,398.5015384615385,357,2010-12-14,2011-12-07
15727,5178.96,7,739.8514285714285,342,2010-12-15,2011-11-23
17858,5155.66,12,429.6383333333333,363,2010-12-05,2011-12-04
13599,5153.67,21,245.41285714285715,365,2010-12-08,2011-12-08
15903,5126.76,7,732.3942857142857,285,2011-02-17,2011-11-30
13941,5112.96,5,1022.592,350,2010-12-02,2011-11-18
17602,5102.97,6,850.495,321,2011-01-19,2011-12-07
16700,5076.55,13,390.50384615384615,357,2010-12-08,2011-12-01
14562,5074.77,18,281.9316666666667,300,2011-02-08,2011-12-06
15301,5070.35,12,422.5291666666667,317,2010-12-06,2011-10-20
13139,5064.94,7,723.5628571428571,243,2011-03-25,2011-11-23
12432,5059.32,5,1011.8639999999999,129,2011-06-20,2011-10-28
15719,5045.61,13,388.1238461538461,304,2011-01-06,2011-11-07
17426,5037.26,6,839.5433333333334,274,2011-03-02,2011-12-01
14329,5014.84,7,716.4057142857143,312,2011-01-14,2011-11-22
14755,5010.28,11,455.47999999999996,324,2011-01-09,2011-11-30
12444,5005.46,5,1001.092,149,2011-06-21,2011-11-18
15032,4959.1,3,1653.0333333333335,110,2010-12-08,2011-03-28
15547,4954.84,14,353.9171428571429,354,2010-12-12,2011-12-02
12437,4951.41,18,275.0783333333333,329,2011-01-12,2011-12-08
12700,4939.99,4,1234.9975,207,2011-05-08,2011-12-02
15786,4932.2,3,1644.0666666666666,68,2011-08-17,2011-10-24
14709,4921.04,13,378.54153846153844,343,2010-12-16,2011-11-24
17133,4892.240000000001,7,698.8914285714287,250,2011-03-18,2011-11-24
12664,4881.88,9,542.4311111111111,314,2011-01-21,2011-12-01
12688,4873.8099999999995,1,4873.8099999999995,0,2011-08-18,2011-08-18
14292,4871.93,9,541.3255555555556,275,2011-03-02,2011-12-02
17652,4867.72,12,405.6433333333334,255,2011-03-03,2011-11-14
15738,4812.42,16,300.77625,353,2010-12-02,2011-11-21
13013,4810.9400000000005,13,370.07230769230773,370,2010-12-03,2011-12-08
15555,4805.17,16,300.323125,357,2010-12-05,2011-11-27
17365,4801.56,8,600.195,320,2011-01-11,2011-11-27
15298,4799.9,12,399.9916666666666,364,2010-12-08,2011-12-07
15187,4777.18,16,298.57375,210,2011-05-11,2011-12-08
17690,4757.95,15,317.19666666666666,342,2010-12-01,2011-11-09
12955,4757.16,11,432.4690909090909,266,2011-03-17,2011-12-08
14180,4748.52,25,189.94080000000002,361,2010-12-02,2011-11-29
15152,4745.69,13,365.0530769230769,177,2011-06-05,2011-11-30
16722,4730.81,13,363.90846153846155,351,2010-12-06,2011-11-22
12714,4708.86,5,941.7719999999999,285,2011-02-18,2011-11-30
14159,4693.01,11,426.6372727272728,343,2010-12-12,2011-11-20
14135,4690.31,15,312.68733333333336,371,2010-12-02,2011-12-08
14191,4684.76,13,360.36615384615385,218,2011-05-03,2011-12-08
15291,4668.3,15,311.22,348,2010-12-01,2011-11-14
14189,4654.08,15,310.272,366,2010-12-06,2011-12-07
14390,4652.82,9,516.98,362,2010-12-02,2011-11-29
14286,4628.75,3,1542.9166666666667,219,2011-04-11,2011-11-16
16931,4604.22,21,219.24857142857144,364,2010-12-05,2011-12-04
13802,4599.42,3,1533.14,172,2011-02-01,2011-07-24
15093,4597.02,6,766.1700000000001,353,2010-12-02,2011-11-21
14004,4582.64,7,654.6628571428572,245,2011-02-24,2011-10-27
17613,4559.150000000001,14,325.65357142857147,282,2011-02-07,2011-11-17
17068,4552.14,21,216.76857142857145,355,2010-12-06,2011-11-27
12484,4541.72,6,756.9533333333334,303,2011-01-07,2011-11-07
13267,4521.49,19,237.97315789473683,364,2010-12-08,2011-12-07
15299,4507.01,7,643.8585714285715,304,2010-12-02,2011-10-03
17975,4488.81,13,345.29307692307697,351,2010-12-08,2011-11-24
12524,4485.72,8,560.715,324,2011-01-10,2011-11-30
14426,4481.67,10,448.16700000000003,289,2011-01-31,2011-11-16
16984,4481.35,2,2240.675,41,2011-08-01,2011-09-12
17364,4481.18,11,407.38000000000005,330,2011-01-12,2011-12-09
12627,4478.53,7,639.79,129,2011-07-22,2011-11-29
14085,4448.54,18,247.14111111111112,366,2010-12-06,2011-12-07
14534,4447.05,18,247.05833333333334,315,2011-01-25,2011-12-07
13069,4436.12,24,184.83833333333334,368,2010-12-05,2011-12-09
15955,4416.26,14,315.44714285714286,348,2010-12-02,2011-11-15
16626,4413.1,17,259.59411764705885,265,2011-03-18,2011-12-09
15874,4405.88,7,629.4114285714286,220,2011-02-28,2011-10-07
12712,4396.13,13,338.1638461538462,342,2010-12-03,2011-11-11
13505,4393.63,4,1098.4075,159,2011-04-21,2011-09-28
12752,4366.78,1,4366.78,0,2011-09-19,2011-09-19
16945,4345.5,19,228.71052631578948,336,2010-12-16,2011-11-18
14016,4341.21,4,1085.3025,195,2010-12-17,2011-07-01
14800,4339.74,12,361.645,322,2010-12-05,2011-10-23
14525,4332.2,9,481.35555555555555,341,2010-12-13,2011-11-20
17567,4331.48,8,541.435,365,2010-12-02,2011-12-02
18251,4314.72,1,4314.72,0,2011-09-13,2011-09-13
12347,4310.0,7,615.7142857142857,365,2010-12-07,2011-12-07
15034,4308.61,8,538.57625,338,2010-12-21,2011-11-24
17937,4301.22,7,614.46,353,2010-12-12,2011-12-01
14422,4263.64,6,710.6066666666667,266,2011-03-17,2011-12-09
12500,4257.82,11,387.07454545454544,310,2011-01-10,2011-11-16
17419,4226.57,12,352.21416666666664,355,2010-12-07,2011-11-28
14277,4216.2,3,1405.3999999999999,197,2011-05-11,2011-11-24
15804,4206.39,13,323.5684615384616,198,2011-05-25,2011-12-09
17920,4204.1,17,247.3,369,2010-12-01,2011-12-05
15971,4199.85,12,349.9875,293,2011-02-01,2011-11-22
12747,4196.01,11,381.4554545454546,366,2010-12-05,2011-12-07
14146,4191.0,5,838.2,348,2010-12-17,2011-12-01
18041,4183.39,21,199.20904761904762,361,2010-12-02,2011-11-28
12949,4167.22,8,520.9025,221,2011-04-01,2011-11-09
15570,4165.52,12,347.1266666666667,362,2010-12-05,2011-12-02
16549,4154.64,10,415.46400000000006,324,2011-01-09,2011-11-29
13384,4151.93,7,593.1328571428572,147,2011-06-14,2011-11-09
13555,4149.28,4,1037.32,128,2011-05-22,2011-09-27
13988,4147.96,6,691.3266666666667,234,2011-03-30,2011-11-20
15514,4139.46,11,376.31454545454545,352,2010-12-10,2011-11-27
12569,4124.69,32,128.8965625,250,2011-04-01,2011-12-07
16592,4113.68,16,257.105,283,2011-02-25,2011-12-05
17940,4106.4400000000005,10,410.64400000000006,253,2011-02-10,2011-10-21
17377,4100.92,20,205.046,349,2010-12-01,2011-11-16
16401,4098.32,12,341.52666666666664,326,2011-01-16,2011-12-08
16670,4095.9,11,372.3545454545455,341,2010-12-16,2011-11-23
12749,4090.88,5,818.176,209,2011-05-10,2011-12-06
14092,4076.91,14,291.2078571428571,350,2010-12-16,2011-12-02
12449,4067.29,4,1016.8225,164,2011-06-05,2011-11-17
18087,4055.7199999999993,2,2027.8599999999997,192,2011-02-22,2011-09-02
14401,4051.48,13,311.6523076923077,355,2010-12-15,2011-12-05
12656,4051.17,5,810.234,216,2011-04-20,2011-11-22
12867,4036.82,7,576.6885714285714,333,2010-12-14,2011-11-13
13815,4027.36,4,1006.84,296,2011-01-25,2011-11-17
12841,4022.35,25,160.894,367,2010-12-03,2011-12-05
12957,4017.54,8,502.1925,329,2011-01-04,2011-11-30
12378,4008.62,1,4008.62,0,2011-08-02,2011-08-02
14547,4007.54,8,500.9425,50,2011-10-16,2011-12-06
16186,4006.94,12,333.9116666666667,349,2010-12-02,2011-11-17
17769,3997.98,10,399.798,308,2011-01-23,2011-11-27
15529,3995.23,11,363.20272727272726,343,2010-12-08,2011-11-17
17001,3989.57,11,362.6881818181818,358,2010-12-16,2011-12-09
15416,3984.32,4,996.08,218,2011-03-02,2011-10-06
17611,3984.22,15,265.61466666666666,353,2010-12-13,2011-12-02
12779,3981.36,8,497.67,333,2010-12-03,2011-11-02
12727,3980.7,7,568.6714285714286,309,2011-01-23,2011-11-29
14299,3965.62,9,440.6244444444444,357,2010-12-09,2011-12-01
13523,3964.88,5,792.976,333,2010-12-08,2011-11-06
13183,3957.78,9,439.75333333333333,326,2011-01-09,2011-12-02
17651,3945.0,10,394.5,165,2011-06-15,2011-11-28
12473,3938.5499999999997,5,787.7099999999999,162,2011-06-01,2011-11-10
17593,3927.34,5,785.4680000000001,349,2010-12-22,2011-12-06
14739,3902.28,7,557.4685714285714,363,2010-12-07,2011-12-05
13999,3901.81,12,325.1508333333333,351,2010-12-13,2011-11-29
14291,3883.25,11,353.02272727272725,273,2011-03-09,2011-12-08
18073,3877.5200000000004,12,323.1266666666667,82,2011-05-26,2011-08-17
13124,3866.33,3,1288.7766666666666,269,2010-12-15,2011-09-11
15195,3861.0,1,3861.0,0,2011-12-07,2011-12-07
16717,3858.38,6,643.0633333333334,342,2010-12-08,2011-11-16
12662,3849.78,11,349.98,372,2010-12-01,2011-12-09
16327,3844.22,6,640.7033333333333,355,2010-12-05,2011-11-25
13266,3834.2599999999998,12,319.52166666666665,245,2011-03-28,2011-11-28
17091,3827.76,9,425.3066666666667,365,2010-12-07,2011-12-07
15867,3812.64,15,254.176,363,2010-12-05,2011-12-04
12755,3811.95,2,1905.975,85,2010-12-09,2011-03-04
12597,3811.22,4,952.805,248,2011-03-16,2011-11-20
13435,3809.8900000000003,7,544.2700000000001,183,2011-06-03,2011-12-04
12668,3807.15,4,951.7875,343,2010-12-19,2011-11-28
16145,3799.4900000000002,11,345.40818181818184,351,2010-12-15,2011-12-01
16655,3794.52,6,632.42,314,2011-01-12,2011-11-22
16168,3787.6,27,140.28148148148148,359,2010-12-05,2011-11-29
16019,3786.2400000000002,9,420.6933333333334,317,2010-12-10,2011-10-24
12562,3781.7400000000002,7,540.2485714285715,190,2011-05-25,2011-12-01
17173,3766.6,8,470.825,125,2011-07-31,2011-12-04
16904,3754.27,16,234.641875,362,2010-12-07,2011-12-05
12429,3750.4,4,937.6,356,2010-12-09,2011-11-30
17238,3744.65,17,220.2735294117647,368,2010-12-03,2011-12-07
14145,3742.2,4,935.55,170,2011-05-06,2011-10-24
13552,3740.07,12,311.6725,249,2011-01-28,2011-10-04
16570,3738.4,10,373.84000000000003,296,2011-02-01,2011-11-24
15808,3734.9700000000003,4,933.7425000000001,63,2010-12-05,2011-02-06
